NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Luis Alberto,Lazio,Italy Serie A,CM,Gold,86,71,80,81,82,79,79,9096
Luis Díaz,FC Porto,Portugal Liga NOS,LM,Gold,75,66,59,66,69,71,72,9107
Luis Hernández,Icons,Icons,ST,Gold,90,83,79,91,90,51,70,9117
Luis Miguel Rodríguez,Colón,Argentina Primera División ,ST,Gold,77,62,69,77,75,68,73,9132
Luis Milla,CD Tenerife,Spain Segunda A,CDM,Gold,75,81,64,75,79,54,61,9133
Luis Montes,León,Mexico Liga MX,CM,Gold,75,64,68,72,70,75,78,9135
Luis Muriel,Atalanta,Italy Serie A,ST,Gold,80,75,64,77,77,78,73,9138
Luis Quiñones,Tigres U.A.N.L.,Mexico Liga MX,LM,Gold,75,80,64,70,81,63,70,9151
Luis Rodríguez,Tigres U.A.N.L.,Mexico Liga MX,RB,Gold,81,52,48,62,65,82,74,9155
Luis Suárez,FC Barcelona,Spain Primera Division,ST,Gold,89,77,87,74,85,41,82,9163
Luiz Araújo,LOSC Lille,France Ligue 1,LM,Gold,75,85,69,68,78,26,55,9170
Luiz Felipe,Lazio,Italy Serie A,CB,Gold,77,43,55,77,76,72,69,9172
Luiz Gustavo,Fenerbahçe,Turkey Süper Lig,CDM,Gold,81,85,81,79,83,33,68,9173
Luiz Phellype,Sporting CP,Portugal Liga NOS,ST,Gold,76,92,70,67,80,45,63,9174
Luka Jović,Real Madrid,Spain Primera Division,ST,Gold,83,85,63,79,84,77,71,9178
Luka Milivojević,Crystal Palace,England Premier League,CDM,Gold,81,67,76,79,80,71,68,9184
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold,90,78,89,77,86,42,83,9185
Lukáš Masopust,Slavia Praha,Czech Republic HET Liga,RM,Gold,75,82,66,72,77,48,62,9195
Lukas Klostermann,RB Leipzig,Germany 1. Bundesliga,RB,Gold,79,71,77,81,77,64,80,9214
Lukas Lerager,Genoa,Italy Serie A,CM,Gold,75,87,61,70,75,70,75,9215
Lukas Podolski,Vissel Kobe,Japan J1 League,CAM,Gold,75,67,58,71,73,74,69,9218
Lukas Rupp,TSG 1899 Hoffenheim,Germany 1. Bundesliga,CM,Gold,75,85,74,62,73,37,76,9221
Luke Shaw,Manchester United,England Premier League,LB,Gold,81,64,73,79,80,76,73,9256
Luuk de Jong,Sevilla FC,Spain Primera Division,ST,Gold,82,72,43,67,64,82,78,9273
Mário Fernandes,CSKA Moskva,Russia FUT League,RWB,Gold,82,77,81,57,77,41,82,9284
Mário Rui,Napoli,Italy Serie A,LB,Gold,79,87,74,72,79,36,66,9285
Magnus Wolff Eikrem,Molde FK,Norway Eliteserien,CAM,Gold,75,81,72,69,76,30,67,9334
Mahmoud Dahoud,Borussia Dortmund,Germany 1. Bundesliga,CM,Gold,78,54,43,56,64,80,76,9340
Mahmut Tekdemir,Medipol Başakşehir,Turkey Süper Lig,CB,Gold,75,67,62,72,71,68,72,9345
Maicol Balanta,Independiente Santa Fe,Colombia Liga Aguila,RM,Gold,75,62,28,48,50,74,81,9348
Maicon,Al Nassr,Saudi Dawry Jameel League,CB,Gold,79,75,74,79,84,41,54,9351
Majeed Waris,FC Porto,Portugal Liga NOS,RM,Gold,75,51,77,61,67,41,76,9360
Makoto Hasebe,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Gold,80,68,80,53,72,39,81,9366
Malang Sarr,OGC Nice,France Ligue 1,CB,Gold,76,42,64,72,65,73,72,9373
Mamadou Sakho,Crystal Palace,England Premier League,CB,Gold,79,81,64,74,79,76,73,9393
Manolo Gabbiadini,Sampdoria,Italy Serie A,ST,Gold,76,51,41,46,40,75,81,9412
Manu García,Deportivo Alavés,Spain Primera Division,CM,Gold,78,62,67,74,72,76,74,9421
Manu Trigueros,Villarreal CF,Spain Primera Division,CM,Gold,80,68,61,64,60,81,80,9424
Manu Vallejo,Valencia CF,Spain Primera Division,ST,Gold,75,79,73,69,79,36,44,9425
Manuel Akanji,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,83,73,59,70,78,85,78,9427
Manuel da Costa,Al Ittihad,Saudi Dawry Jameel League,CB,Gold,75,59,70,76,74,61,67,9433
Manuel Gulde,SC Freiburg,Germany 1. Bundesliga,CB,Gold,75,77,70,73,76,67,64,9439
Manuel Lanzini,West Ham United,England Premier League,CAM,Gold,80,52,58,69,67,81,76,9444
Manuel Lazzari,Lazio,Italy Serie A,RM,Gold,80,85,64,72,74,75,76,9445
Manuel Locatelli,Sassuolo,Italy Serie A,CDM,Gold,76,57,75,72,77,28,72,9446
Marçal,Olympique Lyonnais,France Ligue 1,LB,Gold,77,67,76,63,73,44,79,9461
Marc Albrighton,Leicester City,England Premier League,RM,Gold,76,32,32,57,59,78,70,9464
Marc Overmars,Icons,Icons,LM,Gold,90,82,89,84,84,36,64,9480
Marc Roca,RCD Espanyol,Spain Primera Division,CDM,Gold,79,65,80,76,77,70,69,9488
Marc Schnatterer,1. FC Heidenheim,Germany 2. Bundesliga,RM,Gold,75,90,63,71,79,64,64,9491
Marcão,Galatasaray,Turkey Süper Lig,CB,Gold,75,68,35,59,57,75,71,9495
Marcano,FC Porto,Portugal Liga NOS,CB,Gold,79,78,53,66,67,80,75,9498
Marcel Desailly,Icons,Icons,CB,Gold,91,79,69,70,78,92,86,9502
Marcel Halstenberg,RB Leipzig,Germany 1. Bundesliga,LB,Gold,80,64,38,50,60,81,83,9509
Marcel Sabitzer,RB Leipzig,Germany 1. Bundesliga,CAM,Gold,85,68,75,86,82,74,79,9521
Marcel Schmelzer,Borussia Dortmund,Germany 1. Bundesliga,LB,Gold,76,91,73,64,79,29,72,9525
Marcelo,Real Madrid,Spain Primera Division,LB,Gold,85,84,43,56,56,85,85,9537
Marcelo Brozović,Inter,Italy Serie A,CM,Gold,84,77,77,84,81,63,68,9543
Marcelo Díaz,Racing Club de Avellaneda,Argentina Primera División ,CDM,Gold,80,76,79,62,77,50,84,9545
Marcelo Goiano,Sivasspor,Turkey Süper Lig,RB,Gold,78,47,79,69,71,44,79,9548
Marcelo Saracchi,RB Leipzig,Germany 1. Bundesliga,LB,Gold,75,70,28,54,60,74,76,9553
Marco Asensio,Real Madrid,Spain Primera Division,LW,Gold,83,77,82,80,81,57,72,9565
Marco Benassi,Fiorentina,Italy Serie A,CM,Gold,77,79,68,72,78,63,66,9569
Marco Fabián,Philadelphia Union,USA Major League Soccer,CAM,Gold,75,81,54,68,75,71,69,9583
Marco Höger,1. FC Köln,Germany 1. Bundesliga,CDM,Gold,76,73,74,73,76,45,73,9588
Marco Parolo,Lazio,Italy Serie A,CDM,Gold,81,97,71,68,85,40,81,9603
Marco Reus,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold,88,65,74,88,89,52,57,9607
Marco van Basten,Icons,Icons,ST,Gold,93,83,94,76,89,39,75,9622
Marco van Ginkel,Chelsea,England Premier League,CM,Gold,77,81,59,72,80,72,69,9625
Marco Verratti,Paris Saint-Germain,France Ligue 1,CM,Gold,87,51,58,76,73,89,76,9628
Marc-Oliver Kempf,VfB Stuttgart,Germany 2. Bundesliga,CB,Gold,75,70,74,46,69,28,77,9632
Marcos Acuña,Sporting CP,Portugal Liga NOS,LB,Gold,84,70,84,84,84,43,67,9634
Marcos Alonso,Chelsea,England Premier League,LB,Gold,84,84,82,71,85,43,86,9637
Marcos Guilherme,Al Wehda,Saudi Dawry Jameel League,RM,Gold,75,73,69,75,78,50,61,9644
Marcos Llorente,Atlético de Madrid,Spain Primera Division,CDM,Gold,80,79,51,68,75,78,74,9648
Marcos Rojo,Manchester United,England Premier League,CB,Gold,78,63,71,78,77,71,69,9652
Marcus Coco,FC Nantes,France Ligue 1,RM,Gold,75,72,67,69,76,68,75,9659
Marcus Rashford,Manchester United,England Premier League,ST,Gold,83,81,75,81,87,60,66,9674
Marcus Thuram,Borussia M'gladbach,Germany 1. Bundesliga,ST,Gold,81,53,73,87,78,60,56,9677
Marek Hamšík,Dalian Yifang,China Super League,CM,Gold,84,92,76,77,86,29,60,9679
Marek Suchý,FC Augsburg,Germany 1. Bundesliga,CB,Gold,77,58,39,58,60,79,74,9680
Mariano,Galatasaray,Turkey Süper Lig,RB,Gold,79,83,73,77,80,47,56,9685
Mario Balotelli,Brescia,Italy Serie A,ST,Gold,82,88,70,73,76,74,81,9700
Mario Götze,Borussia Dortmund,Germany 1. Bundesliga,CF,Gold,82,75,39,67,68,81,83,9706
Mario Gómez,VfB Stuttgart,Germany 2. Bundesliga,ST,Gold,76,68,58,63,71,75,79,9708
Mario Gaspar,Villarreal CF,Spain Primera Division,RB,Gold,79,83,71,72,81,75,69,9710
Mario Hermoso,Atlético de Madrid,Spain Primera Division,CB,Gold,80,71,67,81,79,72,74,9713
Mario Lemina,Galatasaray,Turkey Süper Lig,CM,Gold,78,70,66,75,79,64,67,9718
Mario Mandžukić,Piemonte Calcio,Italy Serie A,ST,Gold,84,82,78,81,85,40,68,9721
Mario Pašalić,Atalanta,Italy Serie A,CM,Gold,77,73,37,50,52,76,84,9725
Mario Suárez,Rayo Vallecano,Spain Segunda A,CM,Gold,75,69,69,58,73,28,75,9733
Marius Wolf,Hertha BSC,Germany 1. Bundesliga,RB,Gold,75,61,51,62,67,70,77,9753
Mark Noble,West Ham United,England Premier League,CM,Gold,76,65,44,51,51,75,79,9772
Mark Uth,FC Schalke 04,Germany 1. Bundesliga,ST,Gold,78,70,64,75,75,77,82,9780
Markel Bergara,Getafe CF,Spain Primera Division,CDM,Gold,76,77,65,72,74,72,72,9783
Marko Arnautović,Shanghai SIPG,China Super League,ST,Gold,82,71,64,80,77,76,76,9784
Marko Grujić,Hertha BSC,Germany 1. Bundesliga,CDM,Gold,77,66,57,75,75,72,76,9787
Marko Livaja,AEK Athens,Greece A'Ethniki,ST,Gold,76,77,77,75,81,70,64,9792
Marko Pjaca,Piemonte Calcio,Italy Serie A,LW,Gold,75,84,49,64,69,72,80,9796
Marko Rog,Cagliari,Italy Serie A,CM,Gold,75,67,60,64,68,73,83,9800
Marlos,Shakhtar Donetsk,Ukraine Premier Liga,RM,Gold,82,92,79,75,86,47,69,9830
Marouane Fellaini,Shandong Luneng Taishan,China Super League,CM,Gold,76,56,43,61,62,76,77,9835
Marquinhos,Paris Saint-Germain,France Ligue 1,CB,Gold,87,86,86,87,87,37,68,9836
Martín,Deportivo Alavés,Spain Primera Division,RB,Gold,75,66,38,53,49,76,74,9844
Martín Benítez,Independiente,Argentina Primera División ,CAM,Gold,76,76,74,73,77,33,70,9848
Martín Cáceres,Fiorentina,Italy Serie A,CB,Gold,78,77,77,74,81,37,67,9849
Marten de Roon,Atalanta,Italy Serie A,CM,Gold,78,51,65,67,70,79,82,9859
Martin Škrtel,Atalanta,Italy Serie A,CB,Gold,79,72,75,78,80,40,45,9861
Martin Ødegaard,Real Sociedad,Spain Primera Division,RW,Gold,78,72,67,78,78,68,70,9862
Martin Braithwaite,CD Leganés,Spain Primera Division,ST,Gold,75,49,53,71,66,75,75,9867
Martin Harnik,Hamburger SV,Germany 2. Bundesliga,ST,Gold,75,83,73,67,76,47,75,9876
Martin Hinteregger,Eintracht Frankfurt,Germany 1. Bundesliga,CB,Gold,80,75,53,70,72,81,77,9878
Martin Kelly,Crystal Palace,England Premier League,CB,Gold,75,65,72,73,73,72,75,9880
Martin Terrier,Olympique Lyonnais,France Ligue 1,LW,Gold,76,54,32,40,44,76,85,9897
Marvelous Nakamba,Aston Villa,England Premier League,CDM,Gold,76,85,71,70,78,29,58,9902
Marvin Plattenhardt,Hertha BSC,Germany 1. Bundesliga,LB,Gold,77,88,68,72,82,71,73,9918
Mason Holgate,Everton,England Premier League,RB,Gold,75,72,70,75,77,60,67,9942
Mason Mount,Chelsea,England Premier League,CAM,Gold,75,78,65,75,75,71,76,9943
Mata,Getafe CF,Spain Primera Division,ST,Gold,80,88,73,75,87,30,56,9957
Matías Fernández,Junior de Barranquilla,Colombia Liga Aguila,CM,Gold,75,77,73,69,78,51,70,9972
Matías Fritzler,Colón,Argentina Primera División ,CDM,Gold,75,52,29,48,44,77,73,9973
Matías Rojas,Racing Club de Avellaneda,Argentina Primera División ,CM,Gold,77,79,79,72,77,31,67,9986
Matías Suárez,Núñez,Argentina Primera División ,ST,Gold,77,87,71,72,75,72,76,9989
Matías Vargas,RCD Espanyol,Spain Primera Division,LW,Gold,77,77,75,58,75,33,69,9990
Matías Zaracho,Racing Club de Avellaneda,Argentina Primera División ,CAM,Gold,78,65,57,71,69,75,80,9993
Mateo Kovačić,Chelsea,England Premier League,CM,Gold,82,79,75,77,75,78,84,10004
Mateo Musacchio,Milan,Italy Serie A,CB,Gold,80,60,49,62,66,80,79,10007
Mateus Uribe,FC Porto,Portugal Liga NOS,CM,Gold,76,77,50,68,71,74,78,10015
Matheus Cunha,RB Leipzig,Germany 1. Bundesliga,ST,Gold,83,81,75,81,87,60,66,10032
Matheus Pereira,West Bromwich Albion,England EFL Championship,RM,Gold,76,71,76,70,73,39,76,10034
Mathias Jørgensen,Fenerbahçe,Turkey Süper Lig,CB,Gold,76,70,62,74,74,74,70,10047
Mathias Jensen,Brentford,England EFL Championship,CM,Gold,75,68,53,72,74,75,65,10049
Mathieu Debuchy,AS Saint-Étienne,France Ligue 1,RB,Gold,79,75,73,78,77,70,75,10062
Mathieu Valbuena,Olympiacos CFP,Greece A'Ethniki,LM,Gold,80,82,66,74,81,75,75,10067
Matias Vecino,Inter,Italy Serie A,CDM,Gold,80,73,77,81,77,76,75,10071
Matija Nastasić,FC Schalke 04,Germany 1. Bundesliga,CB,Gold,80,84,76,67,72,31,80,10074
Mato Jajalo,Udinese,Italy Serie A,CM,Gold,76,44,59,70,68,77,72,10075
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,88,85,85,81,88,57,73,10078
Mats Rits,Club Brugge,Belgium Jupiler Pro League,CM,Gold,75,92,68,65,77,32,67,10085
Matt Doherty,Wolverhampton Wanderers,England Premier League,RWB,Gold,82,71,78,85,86,56,70,10096
Matt Phillips,West Bromwich Albion,England EFL Championship,RM,Gold,75,58,60,73,73,74,65,10109
Matt Ritchie,Newcastle United,England Premier League,LWB,Gold,75,85,59,70,76,68,67,10113
Mattéo Guendouzi,Arsenal,England Premier League,CM,Gold,75,64,24,52,63,73,79,10117
Matteo Darmian,Parma,Italy Serie A,LB,Gold,75,78,73,70,76,30,67,10122
Matteo Politano,Inter,Italy Serie A,RM,Gold,87,85,82,85,88,49,69,10129
Matthew Lowton,Burnley,England Premier League,RB,Gold,75,57,43,54,58,76,76,10141
Matthias Ginter,Borussia M'gladbach,Germany 1. Bundesliga,CB,Gold,81,73,75,82,85,66,57,10151
Matthieu Dossevi,Toulouse FC,France Ligue 1,RW,Gold,77,64,31,44,60,79,71,10159
Matthijs de Ligt,Piemonte Calcio,Italy Serie A,CB,Gold,86,77,84,74,73,36,85,10164
Mattia Caldara,Milan,Italy Serie A,CB,Gold,80,82,80,74,81,40,70,10175
Mattia De Sciglio,Piemonte Calcio,Italy Serie A,RB,Gold,77,90,70,72,82,42,67,10176
Mattia Destro,Bologna,Italy Serie A,ST,Gold,75,75,64,68,73,72,74,10178
Maurício,PAOK FC,Greece A'Ethniki,CDM,Gold,77,68,59,71,76,76,80,10206
Mauricio Isla,Fenerbahçe,Turkey Süper Lig,RB,Gold,75,79,70,71,77,57,77,10221
Mauricio Pereyra,Orlando City SC,USA Major League Soccer,CM,Gold,77,84,73,75,76,36,75,10224
Mauro Arambarri,Getafe CF,Spain Primera Division,CDM,Gold,77,91,74,58,78,39,75,10230
Mauro Icardi,Paris Saint-Germain,France Ligue 1,ST,Gold,85,72,80,82,81,79,82,10240
Mauro Zárate,Buenos Aires,Argentina Primera División ,ST,Gold,78,59,79,53,65,36,82,10249
Max Kruse,Fenerbahçe,Turkey Süper Lig,CF,Gold,83,77,79,81,86,55,63,10261
Max Meyer,Crystal Palace,England Premier League,CM,Gold,78,84,66,75,79,72,73,10265
Max-Alain Gradel,Toulouse FC,France Ligue 1,LW,Gold,79,77,75,63,78,43,75,10272
Maxi Moralez,New York City FC,USA Major League Soccer,CAM,Gold,76,73,70,75,76,64,63,10276
Maxime Gonalons,Granada CF,Spain Primera Division,CDM,Gold,75,76,55,68,72,71,72,10287
Maxime Lopez,Olympique de Marseille,France Ligue 1,CM,Gold,77,73,74,56,74,29,69,10291
Maximilian Arnold,VfL Wolfsburg,Germany 1. Bundesliga,CM,Gold,79,50,49,69,71,80,71,10294
Maximilian Eggestein,Werder Bremen,Germany 1. Bundesliga,CM,Gold,80,59,78,60,72,39,82,10299
Maximiliano Gómez,Valencia CF,Spain Primera Division,ST,Gold,80,73,81,74,84,55,75,10322
Maximiliano Meza,Monterrey,Mexico Liga MX,LW,Gold,77,84,76,73,78,48,66,10325
Maxwel Cornet,Olympique Lyonnais,France Ligue 1,RW,Gold,76,92,65,68,84,50,51,10331
Maya Yoshida,Southampton,England Premier League,CB,Gold,75,85,69,70,79,44,55,10334
Mbaye Diagne,Club Brugge,Belgium Jupiler Pro League,ST,Gold,78,87,66,74,83,63,62,10339
M'Baye Niang,Stade Rennais,France Ligue 1,ST,Gold,77,60,64,68,70,74,85,10341
Mbwana Ally Samatta,RC Genk,Belgium Jupiler Pro League,ST,Gold,79,80,76,76,82,48,61,10342
Medrán,Valencia CF,Spain Primera Division,CM,Gold,75,80,70,70,79,37,57,10345
Mehdi Carcela-González,Standard Liège,Belgium Jupiler Pro League,CAM,Gold,77,66,60,75,73,72,72,10348
Mehmet Topal,NG - FA,Free Agents League,CDM,Gold,76,58,55,64,68,74,76,10355
Mehmet Zeki Çelik,LOSC Lille,France Ligue 1,RB,Gold,76,88,59,70,74,71,81,10356
Melendo,RCD Espanyol,Spain Primera Division,RM,Gold,80,58,50,73,72,77,73,10361
Melero,Levante UD,Spain Primera Division,CDM,Gold,75,52,31,61,64,76,75,10362
Memphis Depay,Olympique Lyonnais,France Ligue 1,CF,Gold,86,80,75,80,80,82,82,10366
Merino,Real Sociedad,Spain Primera Division,CM,Gold,79,65,68,72,73,79,79,10374
Mesut Özil,Arsenal,England Premier League,CAM,Gold,87,69,71,88,86,76,68,10385
Mexer,Girondins de Bordeaux,France Ligue 1,CB,Gold,76,77,66,70,75,73,70,10390
Michaël Essien,Icons,Icons,CDM,Gold,90,75,79,93,90,68,65,10409
Michael Ballack,Icons,Icons,CM,Gold,91,81,92,70,82,45,80,10416
Michael Bradley,Toronto FC,USA Major League Soccer,CDM,Gold,76,62,35,62,63,76,72,10423
Michael Gregoritsch,FC Augsburg,Germany 1. Bundesliga,CAM,Gold,78,63,61,72,76,74,76,10439
Michael Keane,Everton,England Premier League,CB,Gold,80,68,79,53,72,37,79,10451
Michael Krmenčík,Viktoria Plzeň,Czech Republic HET Liga,ST,Gold,75,67,41,58,46,75,78,10453
Michael Lang,Werder Bremen,Germany 1. Bundesliga,RB,Gold,76,60,48,60,56,75,79,10456
Michael Laudrup,Icons,Icons,CAM,Gold,91,75,88,89,80,90,86,10457
Michael Ngadeu,AA Gent,Belgium Jupiler Pro League,CB,Gold,78,58,76,79,76,67,66,10472
Michael Owen,Icons,Icons,ST,Gold,91,86,88,80,83,41,82,10481
Michail Antonio,West Ham United,England Premier League,RM,Gold,78,71,77,79,78,40,59,10502
Michel Vlap,Anderlecht,Belgium Jupiler Pro League,CAM,Gold,75,75,73,66,72,41,69,10516
Michy Batshuayi,Chelsea,England Premier League,ST,Gold,79,77,79,78,77,55,67,10531
Miguel Almirón,Newcastle United,England Premier League,LW,Gold,80,57,72,80,73,77,80,10548
Miguel Layún,Monterrey,Mexico Liga MX,RB,Gold,77,81,42,70,71,73,74,10556
Miguel Lopes,Kayserispor,Turkey Süper Lig,RB,Gold,76,81,75,62,79,30,63,10557
Miguel Veloso,Hellas Verona,Italy Serie A,CM,Gold,77,76,40,64,69,76,80,10563
Miha Zajc,Fenerbahçe,Turkey Süper Lig,CAM,Gold,75,66,58,68,70,75,72,10566
Mikel San José,Athletic Club de Bilbao,Spain Primera Division,CM,Gold,78,90,72,71,83,32,63,10606
Milan Škriniar,Inter,Italy Serie A,CB,Gold,86,93,85,72,85,29,79,10629
Milan Badelj,Fiorentina,Italy Serie A,CDM,Gold,79,61,63,71,74,77,73,10632
Miloš Ninković,Sydney FC,Australia Hyundai A-League,CAM,Gold,75,70,79,74,75,46,77,10647
Miloš Veljković,Werder Bremen,Germany 1. Bundesliga,CB,Gold,75,88,67,68,78,28,52,10650
Milot Rashica,Werder Bremen,Germany 1. Bundesliga,LW,Gold,79,83,49,73,79,73,67,10651
Milton Casco,Núñez,Argentina Primera División ,LB,Gold,77,64,52,58,64,76,78,10653
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold,87,82,62,80,80,88,83,10659
Miralem Sulejmani,BSC Young Boys,Switzerland Super League,LM,Gold,78,76,77,51,68,38,79,10663
Miranda,Jiangsu Suning,China Super League,CB,Gold,83,74,45,57,67,83,81,10664
Miroslav Klose,Icons,Icons,ST,Gold,91,69,48,74,70,94,80,10680
Miroslav Stoch,PAOK FC,Greece A'Ethniki,LM,Gold,76,68,36,65,67,77,70,10684
Mislav Oršić,Dinamo Zagreb,Croatia PRva HNL,LM,Gold,82,80,80,73,84,58,70,10689
Mitchell Weiser,Bayer 04 Leverkusen,Germany 1. Bundesliga,RB,Gold,77,68,30,54,65,78,73,10701
Mohamed Buya Turay,Djurgårdens IF,Sweden Allsvenskan,ST,Gold,77,84,66,75,79,72,73,10721
Mohamed Elneny,Beşiktaş,Turkey Süper Lig,CDM,Gold,77,82,68,70,81,38,54,10729
Mohamed Elyounoussi,Celtic,Scotland Premiership,LM,Gold,76,67,57,72,75,68,70,10730
Mohamed Salah,Liverpool,England Premier League,RW,Gold,90,82,88,86,90,58,73,10740
Moise Kean,Everton,England Premier League,ST,Gold,76,70,70,75,77,34,60,10794
Montoya,Brighton & Hove Albion,England Premier League,RB,Gold,76,78,69,69,76,32,57,10805
Morales,Levante UD,Spain Primera Division,ST,Gold,82,91,79,79,82,40,67,10810
Morata,Atlético de Madrid,Spain Primera Division,ST,Gold,83,64,70,83,77,78,80,10811
Morgan Sanson,Olympique de Marseille,France Ligue 1,CM,Gold,79,65,78,58,62,32,74,10820
Morgan Schneiderlin,Everton,England Premier League,CDM,Gold,77,84,70,63,75,38,79,10821
Moses Simon,FC Nantes,France Ligue 1,LM,Gold,75,66,67,71,72,68,77,10843
Mossoró,Göztepe,Turkey Süper Lig,CAM,Gold,76,52,52,59,60,76,78,10846
Mouctar Diakhaby,Valencia CF,Spain Primera Division,CB,Gold,77,91,51,69,73,72,82,10850
Mousa Dembélé,Guangzhou R&F,China Super League,CM,Gold,81,69,74,73,76,79,82,10859
Moussa Dembélé,Olympique Lyonnais,France Ligue 1,ST,Gold,80,63,74,77,79,76,83,10860
Moussa Konaté,Amiens SC,France Ligue 1,ST,Gold,75,76,75,67,73,38,70,10870
Moussa Marega,FC Porto,Portugal Liga NOS,ST,Gold,80,64,81,80,76,56,76,10871
Moussa Niakhaté,1. FSV Mainz 05,Germany 1. Bundesliga,CB,Gold,75,87,69,68,77,42,67,10872
Moussa Sissoko,Tottenham Hotspur,England Premier League,CM,Gold,81,58,60,69,70,80,82,10874
Mubarak Wakaso,Deportivo Alavés,Spain Primera Division,CM,Gold,75,71,73,74,76,47,75,10884
Munas Dabbur,Sevilla FC,Spain Primera Division,ST,Gold,80,64,51,59,56,78,83,10895
Muniain,Athletic Club de Bilbao,Spain Primera Division,CAM,Gold,84,69,77,82,80,83,82,10896
Munir,Sevilla FC,Spain Primera Division,ST,Gold,79,78,72,77,78,75,76,10898
Mustapha Bundu,Aarhus GF,Denmark Superliga,RW,Gold,75,77,68,71,74,74,72,10926
Mykyta Burda,Dynamo Kyiv,Ukraine Premier Liga,CB,Gold,75,88,66,71,77,40,54,10938
Myziane Maolida,OGC Nice,France Ligue 1,LW,Gold,84,90,83,85,80,64,71,10942
Nélson Semedo,FC Barcelona,Spain Primera Division,LB,Gold,84,93,79,80,87,36,57,10949
Néstor Araújo,RC Celta de Vigo,Spain Primera Division,CB,Gold,76,75,78,72,78,43,68,10954
Naïm Sliti,Al Ettifaq,Saudi Dawry Jameel League,LM,Gold,76,85,70,68,75,57,73,10958
Nabil Bentaleb,FC Schalke 04,Germany 1. Bundesliga,CM,Gold,77,62,70,73,76,67,75,10961
Nabil Dirar,Fenerbahçe,Turkey Süper Lig,RM,Gold,75,69,58,66,74,77,67,10962
Nabil Fekir,Real Betis Balompié,Spain Primera Division,CAM,Gold,84,72,81,79,82,71,79,10963
Naby Keïta,Liverpool,England Premier League,CM,Gold,82,93,71,74,86,50,52,10964
Nacer Chadli,Anderlecht,Belgium Jupiler Pro League,LW,Gold,75,77,74,49,70,27,74,10966
Nacho,Real Valladolid,Spain Primera Division,LB,Gold,77,64,71,75,76,72,74,10967
Nacho Fernández,Real Madrid,Spain Primera Division,CB,Gold,82,50,82,57,66,45,80,10969
Nacho Monreal,Real Sociedad,Spain Primera Division,LB,Gold,82,73,77,82,82,72,69,10973
Nadiem Amiri,Bayer 04 Leverkusen,Germany 1. Bundesliga,CAM,Gold,78,76,46,52,70,78,79,10976
Nahitan Nández,Cagliari,Italy Serie A,CM,Gold,77,67,79,73,80,27,66,10980
Naldo,AS Monaco,France Ligue 1,CB,Gold,80,65,71,78,80,73,80,10994
Nampalys Mendy,Leicester City,England Premier League,CDM,Gold,75,88,74,64,79,35,65,10998
Nani,Orlando City SC,USA Major League Soccer,RM,Gold,83,90,80,74,81,44,70,11003
Nathan Aké,Bournemouth,England Premier League,CB,Gold,80,70,73,77,80,56,73,11028
Nathan Redmond,Southampton,England Premier League,LM,Gold,77,71,41,55,63,77,67,11044
Nathaniel Chalobah,Watford,England Premier League,CDM,Gold,75,67,55,65,68,75,79,11051
Nathaniel Clyne,Liverpool,England Premier League,RB,Gold,78,93,63,70,84,33,51,11052
Neal Maupay,Brighton & Hove Albion,England Premier League,ST,Gold,75,82,75,66,77,29,66,11071
Nemanja Gudelj,Sevilla FC,Spain Primera Division,CDM,Gold,77,70,65,75,78,72,66,11094
Nemanja Maksimović,Getafe CF,Spain Primera Division,CM,Gold,78,79,59,68,78,74,62,11095
Nemanja Matić,Manchester United,England Premier League,CDM,Gold,81,70,44,64,70,82,74,11096
Nery Domínguez,Racing Club de Avellaneda,Argentina Primera División ,CDM,Gold,78,68,53,68,68,77,77,11107
Neven Subotić,1. FC Union Berlin,Germany 1. Bundesliga,CB,Gold,77,68,52,54,64,74,77,11111
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold,92,91,85,87,95,32,58,11114
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold,90,97,86,80,91,40,76,11116
Nick Viergever,PSV,Holland Eredivisie,CB,Gold,76,61,76,80,77,51,60,11150
Nicky Maynard,Mansfield Town,England EFL League Two,ST,Gold,75,71,67,70,76,67,49,11161
Niclas Füllkrug,Werder Bremen,Germany 1. Bundesliga,ST,Gold,77,52,32,55,59,78,80,11165
Nico Elvedi,Borussia M'gladbach,Germany 1. Bundesliga,CB,Gold,82,79,79,83,85,51,78,11168
Nico Schulz,Borussia Dortmund,Germany 1. Bundesliga,LWB,Gold,82,92,79,75,86,47,69,11178
Nicola Sansone,Bologna,Italy Serie A,ST,Gold,75,83,70,71,77,34,59,11184
Nicolás Blandi,San Lorenzo de Almagro,Argentina Primera División ,ST,Gold,75,52,51,65,66,74,76,11190
Nicolás Castillo,América,Mexico Liga MX,ST,Gold,75,73,62,73,74,67,76,11192
Nicolás Domínguez,Vélez Sarsfield,Argentina Primera División ,CM,Gold,75,86,76,65,79,47,64,11200
